symbol,ts,title,p_pos,p_neg,p_neu,sent_signed,lab,lex,human_label
AAP,2017-02-21 00:00:00 UTC,More on Advance Auto Parts' Q4,0.04359432,0.20157808,0.75482756,-0.15798377,neu,0,
SPWR,2019-11-11 00:00:00 UTC,"SunPower to Receive $298M Equity Investment in Company it is Spinning Off, Maxeon Solar",0.09043544,0.14939432,0.7601703,-0.05895888,neu,0,
KFY,2016-09-08 00:00:00 UTC,Korn/Ferry (KFY) Gains Before Earnings,0.06565286,0.019143423,0.9152038,0.046509437,neu,1,
CPG,2023-04-12 00:00:00 UTC,Are Investors Undervaluing Baytex Energy (BTE) Right Now?,0.13279997,0.069436066,0.7977639,0.0633639,neu,0,
DHI,2016-11-08 00:00:00 UTC,"D.R. Horton Reports Q4 EPS $0.75 vs. Est. $0.77, Rev. $3.7B vs. Est. $3.67B",0.040938586,0.038158953,0.92090255,0.0027796328,neu,0,
SWN,2017-02-22 00:00:00 UTC,Notable earnings after Thursday's close,0.03108804,0.03884112,0.9300708,-0.0077530816,neu,0,
EBR,2018-03-28 00:00:00 UTC,Centrais Eletricas Brasileiras S.A. - Eletrobras 2017 Q4 - Results - Earnings Call Slides,0.042781554,0.09792795,0.85929054,-0.055146396,neu,0,
AGNC,2018-05-24 00:00:00 UTC,History Repeats Itself: AGNC Selling Shares,0.065680504,0.012449945,0.9218695,0.053230558,neu,0,
HAL,2019-07-22 00:00:00 UTC,"OIH, QLS: Big ETF Outflows",0.021688158,0.048875015,0.92943686,-0.027186858,neu,0,
GRMN,2015-01-06 00:00:00 UTC,Garmin Unveils Vivofit 2; Partners Designer Jonathan Adler - Analyst Blog,0.06359615,0.014555132,0.9218488,0.049041018,neu,0,
ACN,2020-03-04 00:00:00 UTC,"Everything You Want to Know About CDW, One of My Favorite Stocks",0.039356522,0.021905204,0.9387382,0.017451318,neu,0,
FAST,2012-07-20 00:00:00 UTC,Fastenal Down to Underperform - Analyst Blog,0.096083604,0.20222062,0.70169574,-0.106137015,neu,0,
MU,2018-09-21 00:00:00 UTC,"Micron Posts Q4 Beat, But Morgan Stanley Is Concerned With Chipmaker's Guidance",0.040246483,0.17010722,0.7896463,-0.12986073,neu,1,
CAG,2018-03-22 00:00:00 UTC,"Consumer Sector Update for 03/22/2018: CAG,CCL,DRI",0.023850596,0.13538699,0.84076244,-0.11153639,neu,0,
VALE,2014-06-11 00:00:00 UTC,"Option Alert: Vale Dec $14/$16 Call; 6,000/6,000 Buy/Write; Currently $13.32",0.049506683,0.47339022,0.4771031,-0.42388353,neu,0,
DE,2011-05-18 00:00:00 UTC,Are The Mining Equipment Stocks Broken?,0.026001474,0.0356789,0.9383197,-0.009677427,neu,0,
HAL,2017-04-26 00:00:00 UTC,"The Zacks Analyst Blog Highlights: Schlumberger, Halliburton, Chevron, Kinder Morgan and Petrobras",0.033269454,0.13509886,0.83163166,-0.10182941,neu,0,
TM,2023-12-15 00:00:00 UTC,7 Battery Stocks Poised for Multibagger Growth,0.14404663,0.17409311,0.68186015,-0.030046478,neu,1,
WBA,2023-01-05 00:00:00 UTC,"Nasdaq 100 Movers: CRWD, PDD",0.035271727,0.055058394,0.9096699,-0.019786667,neu,0,
TFX,2021-08-12 00:00:00 UTC,"Teleflex Incorporated (TFX) Ex-Dividend Date Scheduled for August 13, 2021",0.018145468,0.04387012,0.93798447,-0.025724653,neu,0,
AGO,2013-02-13 00:00:00 UTC,Credit Rating Agencies Are Here to Stay,0.08604533,0.0129529,0.9010017,0.07309243,neu,0,
AN,2019-07-23 00:00:00 UTC,"AutoNation EPS beats by $0.06, revenue in-line",0.049962763,0.20427786,0.74575937,-0.1543151,neu,1,
AIG,2020-11-06 00:00:00 UTC,"BUZZ-U.S. STOCKS ON THE MOVE-U.S. homebuilders, cannabis stocks, CVS Health",0.040876552,0.014126558,0.9449968,0.026749995,neu,0,
DKS,2014-08-19 00:00:00 UTC,Benzinga's Volume Movers,0.06630011,0.043142304,0.8905576,0.023157805,neu,0,
DOV,2012-03-16 00:00:00 UTC,"Accenture, Covidien, Seagate and Other St. Patrick's Stock Picks",0.026784163,0.017911931,0.95530397,0.0088722315,neu,0,
ZBH,2023-05-02 00:00:00 UTC,Zimmer Biomet (ZBH) Beats Q1 Earnings and Revenue Estimates,0.03163914,0.018097995,0.95026284,0.013541145,neu,1,
DHI,2017-07-26 00:00:00 UTC,"DR Horton Q3 EPS $0.76 vs $0.75 Est., Sales $3.9B vs $3.7B Est.",0.12502596,0.037102252,0.83787185,0.087923706,neu,0,
VRTX,2019-10-17 00:00:00 UTC,What's in Store for Edwards Lifesciences' (EW) Q3 Earnings?,0.027818331,0.025428016,0.9467537,0.0023903158,neu,0,
NLY,2013-03-18 00:00:00 UTC,Annaly Commences Offer to Purchase All CreXus Shares,0.08037789,0.009352243,0.91026986,0.07102565,neu,0,
AMT,2014-05-07 00:00:00 UTC,UPDATE American Tower Shares Rise 1.5% Premarket Following Announcement of Pricing of Convertible Preferred Stock Offering,0.01809815,0.060867563,0.9210343,-0.042769413,neu,0,
FRO,2015-03-16 00:00:00 UTC,Option Alert: Frontline May $2.5 Call; 1800 Contract Trade at Ask @$0.40; Now $2.50,0.08682327,0.031139717,0.88203704,0.055683553,neu,0,
HAIN,2012-01-30 00:00:00 UTC,Earnings Preview: Hain Celestial - Analyst Blog,0.022951765,0.053052686,0.9239956,-0.030100921,neu,0,
CL,2020-04-16 00:00:00 UTC,S&P 500 Futures Up 3.2% After Hours; Many Other Stocks Moving Higher With Futures; Investors Reacting Favorably To White Phase Guidelines On Reopening Economy,0.059550975,0.044601616,0.89584744,0.014949359,neu,1,
PLUG,2020-08-26 00:00:00 UTC,Why Plug Power Stock Is Going Back Up,0.05926839,0.049135216,0.89159644,0.010133173,neu,0,
PAYX,2018-05-07 00:00:00 UTC,"Here Are 52 Top NASDAQ Stocks By Yield, Upside And Gains For May",0.07831036,0.059808552,0.86188114,0.01850181,neu,1,
ATI,2023-03-10 00:00:00 UTC,Are Basic Materials Stocks Lagging Aperam (APEMY) This Year?,0.30494744,0.013190732,0.68186176,0.2917567,neu,0,
PXD,2023-10-17 00:00:00 UTC,How To Play the Pullback in Exxon Mobil Stock,0.36350444,0.008416268,0.62807935,0.35508817,neu,0,
PCG,2018-11-15 00:00:00 UTC,45 Stocks Moving In Thursday's Mid-Day Session,0.13454434,0.01759675,0.84785885,0.11694759,neu,0,
TSM,2020-01-27 00:00:00 UTC,Dow Jones Dives 450 Points In Stock Market Rout As Deadly China Virus Spreads,0.11832616,0.20605277,0.67562103,-0.08772661,neu,0,
UUP,2014-07-29 00:00:00 UTC,The Dollar And Yuan: No Contest... Yet,0.1572113,0.023072595,0.8197161,0.1341387,neu,0,
BNS,2015-05-29 00:00:00 UTC,"Scotiabank Earnings Rise, but Will Its Latest Bet Pay Off?",0.02240455,0.11693378,0.8606617,-0.09452923,neu,0,
VFC,2020-09-15 00:00:00 UTC,"BUZZ-U.S. STOCKS ON THE MOVE-Exelixis Inc, AnPac Bio-Medical, Lennar Corp, Equillium Inc",0.06749253,0.04693369,0.88557374,0.020558842,neu,0,
GEO,2017-02-22 00:00:00 UTC,Immigration crackdown and prison stocks,0.10422198,0.009395897,0.88638204,0.09482608,neu,0,
TJX,2015-02-25 00:00:00 UTC,Comps solid at TJX Companies; guidance impacted by wage hikes,0.09342592,0.050794788,0.8557793,0.042631134,neu,0,
EZU,2014-12-11 00:00:00 UTC,Forex technical education: Being at the right place at the right time with your trading via ForexLive,0.05846566,0.026977472,0.91455686,0.031488188,neu,0,
SWX,2016-05-09 00:00:00 UTC,Southwest Gas' (SWX) CEO John Hester on Q1 2016 Results - Earnings Call Transcript,0.026310341,0.0316126,0.94207704,-0.0053022597,neu,0,
SYK,2019-04-05 00:00:00 UTC,"Chesley Taft & Associates Llc Buys Stryker Corp, Amazon. ...",0.31861532,0.0068760677,0.67450863,0.31173924,neu,0,
